Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,line,name,mold_name,time,date,count,working,emergency_stop,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,molten_volume,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,upper_mold_temp3,lower_mold_temp1,lower_mold_temp2,lower_mold_temp3,sleeve_temperature,physical_strength,Coolant_temperature,EMS_operation_time,tryshot_signal,mold_code,heating_furnace,anomalyornot,anomaly_detail,probability,passorfail,registration_time,shap1,shap2,shap3
20,20,20,20,73632,0,0,0,0,3374,290,0,0,720.0,129,123,105.0,106.0,89.0,325.0,51.0,114.0,170.0,1449.0,190.0,191.0,1021.0,309.0,662.0,33.0,23,1,8722,2,,,0.0052212546579539,0.0,2019-03-12 06:25:59,cast_pressure,upper_mold_temp2,physical_strength
21,21,21,21,73633,0,0,0,0,3380,281,0,0,729.0,119,122,110.0,112.0,,317.0,50.0,210.0,161.0,1449.0,129.0,207.0,1449.0,408.0,732.0,33.0,6,1,8412,1,,,0.0002593280514702,0.0,2019-03-12 06:26:35,upper_mold_temp1,cast_pressure,molten_temp
22,22,22,22,73634,0,0,0,0,3385,300,0,0,727.0,122,124,110.0,112.0,78.0,329.0,47.0,102.0,183.0,1449.0,190.0,302.0,1449.0,367.0,697.0,31.0,23,1,8917,2,,,0.0014764735062046,0.0,2019-03-12 06:27:19,cast_pressure,facility_operation_cycleTime,lower_mold_temp1
23,23,23,23,73635,0,0,0,0,3395,291,0,0,721.0,124,125,105.0,109.0,88.0,325.0,48.0,115.0,171.0,1449.0,192.0,192.0,1007.0,312.0,653.0,33.0,23,1,8722,2,,,0.0035166628658771,0.0,2019-03-12 06:28:05,cast_pressure,physical_strength,upper_mold_temp2
24,24,24,24,73636,0,0,0,0,3400,282,0,0,731.0,120,122,110.0,112.0,,330.0,48.0,210.0,161.0,1449.0,129.0,209.0,1449.0,406.0,733.0,33.0,6,1,8412,1,,,0.0003122110501863,0.0,2019-03-12 06:28:35,upper_mold_temp1,cast_pressure,molten_temp
25,25,25,25,73637,0,0,0,0,3406,301,0,0,720.0,123,124,110.0,112.0,95.0,330.0,44.0,102.0,183.0,1449.0,190.0,302.0,1449.0,363.0,698.0,31.0,23,1,8917,2,,,0.0013236915670389,0.0,2019-03-12 06:29:22,cast_pressure,facility_operation_cycleTime,lower_mold_temp1
26,26,26,26,73638,0,0,0,0,3416,292,0,0,721.0,123,125,105.0,107.0,88.0,325.0,47.0,115.0,171.0,1449.0,191.0,192.0,1019.0,311.0,648.0,33.0,23,1,8722,2,,,0.0035166628658771,0.0,2019-03-12 06:30:06,cast_pressure,physical_strength,upper_mold_temp2
27,27,27,27,73639,0,0,0,0,3419,283,0,0,732.0,120,122,110.0,112.0,,318.0,48.0,210.0,161.0,1449.0,129.0,203.0,1449.0,408.0,724.0,33.0,6,1,8412,1,,,0.0002593280514702,0.0,2019-03-12 06:30:35,upper_mold_temp1,cast_pressure,molten_temp
28,28,28,28,73640,0,0,0,0,3425,302,0,0,711.0,123,122,110.0,111.0,95.0,329.0,40.0,102.0,183.0,1449.0,190.0,301.0,1449.0,361.0,695.0,31.0,23,1,8917,2,,,0.0010999164975886,0.0,2019-03-12 06:31:30,cast_pressure,biscuit_thickness,lower_mold_temp1
29,29,29,29,73641,0,0,0,0,3433,293,0,0,722.0,123,126,105.0,106.0,88.0,325.0,47.0,115.0,170.0,1449.0,192.0,192.0,1006.0,315.0,651.0,33.0,23,1,8722,2,,,0.0035166628658771,0.0,2019-03-12 06:32:09,cast_pressure,physical_strength,upper_mold_temp2
30,30,30,30,73642,0,0,0,0,3436,284,0,0,733.0,120,123,110.0,111.0,,318.0,52.0,210.0,161.0,1449.0,129.0,205.0,1449.0,409.0,714.0,33.0,6,1,8412,1,,,0.0002495347289368,0.0,2019-03-12 06:32:33,upper_mold_temp1,cast_pressure,molten_temp
31,31,31,31,73643,0,0,0,0,3441,303,0,0,708.0,122,122,110.0,112.0,95.0,330.0,47.0,102.0,183.0,1449.0,189.0,300.0,1449.0,358.0,697.0,30.0,23,1,8917,2,,,0.0022389785762629,0.0,2019-03-12 06:33:22,cast_pressure,Coolant_temperature,facility_operation_cycleTime
32,32,32,32,73644,0,0,0,0,3452,294,0,0,723.0,123,123,105.0,106.0,86.0,325.0,49.0,115.0,171.0,1449.0,193.0,193.0,998.0,311.0,652.0,33.0,23,1,8722,2,,,0.0031082977075129,0.0,2019-03-12 06:34:07,cast_pressure,physical_strength,upper_mold_temp2
33,33,33,33,73645,0,0,0,0,3454,285,0,0,732.0,121,122,110.0,112.0,,330.0,51.0,210.0,161.0,1449.0,129.0,207.0,1449.0,404.0,734.0,33.0,6,1,8412,1,,,0.0002495347289368,0.0,2019-03-12 06:34:36,upper_mold_temp1,cast_pressure,molten_temp
34,34,34,34,73646,0,0,0,0,3457,304,0,0,706.0,122,123,110.0,112.0,94.0,330.0,48.0,102.0,183.0,1449.0,189.0,299.0,1449.0,355.0,698.0,30.0,23,1,8917,2,,,0.0018837810969164,0.0,2019-03-12 06:35:20,cast_pressure,Coolant_temperature,facility_operation_cycleTime
35,35,35,35,73647,0,0,0,0,3471,295,0,0,724.0,123,125,105.0,106.0,85.0,325.0,49.0,116.0,172.0,1449.0,194.0,194.0,994.0,310.0,658.0,33.0,23,1,8722,2,,,0.0030104108154773,0.0,2019-03-12 06:36:17,cast_pressure,physical_strength,upper_mold_temp2
36,36,36,36,73648,0,0,0,0,3476,305,0,0,705.0,122,122,110.0,112.0,93.0,329.0,46.0,102.0,182.0,1449.0,189.0,298.0,1449.0,362.0,697.0,30.0,23,1,8917,2,,,0.0023703937081863,0.0,2019-03-12 06:37:22,cast_pressure,Coolant_temperature,lower_mold_temp1
37,37,37,37,73649,0,0,0,0,3490,296,0,0,724.0,124,126,105.0,106.0,85.0,324.0,52.0,115.0,170.0,1449.0,193.0,194.0,998.0,310.0,641.0,33.0,23,1,8722,2,,,0.0027383884880691,0.0,2019-03-12 06:38:16,cast_pressure,physical_strength,upper_mold_temp2
38,38,38,38,73650,0,0,0,0,3492,286,0,0,731.0,120,235,110.0,112.0,,336.0,45.0,129.0,160.0,1449.0,121.0,160.0,1449.0,347.0,684.0,33.0,6,1,8412,0,,,0.0015160880284383,0.0,2019-03-12 06:38:33,cast_pressure,lower_mold_temp2,molten_temp
39,39,39,39,73651,0,0,0,0,3495,306,0,0,706.0,122,123,110.0,112.0,92.0,330.0,43.0,102.0,183.0,1449.0,188.0,298.0,1449.0,361.0,699.0,30.0,23,1,8917,2,,,0.0016966339715319,0.0,2019-03-12 06:39:26,cast_pressure,Coolant_temperature,physical_strength
40,40,40,40,73652,0,0,0,0,3507,297,0,0,725.0,125,127,105.0,109.0,84.0,325.0,44.0,114.0,170.0,1449.0,191.0,195.0,992.0,309.0,648.0,33.0,23,1,8722,2,,,0.0027983242180198,0.0,2019-03-12 06:40:34,cast_pressure,physical_strength,upper_mold_temp2
41,41,41,41,73653,0,0,0,0,3508,287,0,0,731.0,233,116,110.0,112.0,,318.0,51.0,185.0,159.0,1449.0,121.0,184.0,1449.0,380.0,711.0,33.0,6,1,8412,0,,,0.0004732005181722,0.0,2019-03-12 06:40:36,cast_pressure,upper_mold_temp1,molten_temp
42,42,42,42,73654,0,0,0,0,3513,307,0,0,707.0,122,123,110.0,112.0,92.0,329.0,47.0,102.0,183.0,1449.0,188.0,298.0,1449.0,354.0,697.0,30.0,23,1,8917,2,,,0.0018837810969164,0.0,2019-03-12 06:41:35,cast_pressure,Coolant_temperature,facility_operation_cycleTime
43,43,43,43,73655,0,0,0,0,3526,298,0,0,726.0,124,127,105.0,106.0,85.0,325.0,44.0,114.0,171.0,1449.0,191.0,195.0,992.0,307.0,653.0,33.0,23,1,8722,2,,,0.0027983242180198,0.0,2019-03-12 06:42:28,cast_pressure,physical_strength,upper_mold_temp2
44,44,44,44,73656,0,0,0,0,3527,288,0,0,731.0,114,122,110.0,112.0,,330.0,49.0,199.0,159.0,1449.0,123.0,193.0,1449.0,399.0,717.0,33.0,6,1,8412,0,,,0.0003362602728884,0.0,2019-03-12 06:42:40,upper_mold_temp1,cast_pressure,molten_temp
45,45,45,45,73657,0,0,0,0,3532,308,0,0,708.0,122,123,110.0,112.0,91.0,329.0,52.0,102.0,183.0,1449.0,188.0,298.0,1449.0,351.0,698.0,30.0,23,1,8917,2,,,0.0019328009405862,0.0,2019-03-12 06:43:34,cast_pressure,Coolant_temperature,facility_operation_cycleTime
46,46,46,46,73658,0,0,0,0,3544,289,0,0,731.0,120,121,110.0,112.0,,317.0,51.0,205.0,159.0,1449.0,125.0,198.0,1449.0,409.0,733.0,33.0,6,1,8412,0,,,0.0002687574014998,0.0,2019-03-12 06:44:37,upper_mold_temp1,cast_pressure,molten_temp
47,47,47,47,73659,0,0,0,0,3546,299,0,0,727.0,123,143,105.0,106.0,84.0,325.0,43.0,109.0,165.0,1449.0,184.0,192.0,980.0,324.0,653.0,32.0,23,1,8722,2,,,0.0044031073339283,0.0,2019-03-12 06:45:01,cast_pressure,physical_strength,upper_mold_temp1
48,48,48,48,73660,0,0,0,0,3550,309,0,0,709.0,122,123,110.0,112.0,89.0,330.0,47.0,101.0,183.0,1449.0,188.0,297.0,1449.0,354.0,698.0,30.0,23,1,8917,2,,,0.0019328009405862,0.0,2019-03-12 06:45:41,cast_pressure,Coolant_temperature,facility_operation_cycleTime
49,49,49,49,73661,0,0,0,0,3561,290,0,0,731.0,118,121,110.0,112.0,,317.0,51.0,208.0,159.0,1449.0,126.0,200.0,1449.0,401.0,721.0,33.0,6,1,8412,0,,,0.0002563366433605,0.0,2019-03-12 06:46:33,upper_mold_temp1,cast_pressure,molten_temp
50,50,50,50,73662,0,0,0,0,3563,300,0,0,727.0,141,127,104.0,106.0,82.0,325.0,47.0,111.0,165.0,1449.0,186.0,191.0,985.0,318.0,656.0,32.0,23,1,8722,2,,,0.0076114828698337,0.0,2019-03-12 06:47:08,cast_pressure,physical_strength,upper_mold_temp1
51,51,51,51,73663,0,0,0,0,3569,310,0,0,710.0,122,132,110.0,112.0,89.0,330.0,47.0,101.0,182.0,1449.0,187.0,296.0,1449.0,350.0,697.0,30.0,23,1,8917,2,,,0.0019328009405862,0.0,2019-03-12 06:47:53,cast_pressure,Coolant_temperature,facility_operation_cycleTime
52,52,52,52,73664,0,0,0,0,3580,291,0,0,731.0,120,121,110.0,111.0,,317.0,50.0,209.0,159.0,1449.0,126.0,203.0,1449.0,405.0,711.0,33.0,6,1,8412,0,,,0.0002593280514702,0.0,2019-03-12 06:48:40,upper_mold_temp1,cast_pressure,molten_temp
53,53,53,53,73665,0,0,0,0,3581,301,0,0,727.0,128,127,105.0,106.0,81.0,325.0,47.0,111.0,166.0,1449.0,188.0,191.0,985.0,312.0,662.0,32.0,23,1,8722,2,,,0.0035892378073185,0.0,2019-03-12 06:49:05,cast_pressure,physical_strength,upper_mold_temp1
54,54,54,54,73666,0,0,0,0,3589,311,0,0,711.0,132,123,110.0,112.0,88.0,329.0,51.0,102.0,182.0,1449.0,187.0,297.0,1449.0,350.0,698.0,30.0,23,1,8917,2,,,0.0019328009405862,0.0,2019-03-12 06:49:55,cast_pressure,Coolant_temperature,facility_operation_cycleTime
55,55,55,55,73667,0,0,0,0,3597,292,0,0,731.0,119,121,110.0,112.0,,330.0,53.0,209.0,159.0,1449.0,127.0,203.0,1449.0,407.0,732.0,33.0,6,1,8412,0,,,0.0002495347289368,0.0,2019-03-12 06:50:42,upper_mold_temp1,cast_pressure,molten_temp
56,56,56,56,73668,0,0,0,0,3603,302,0,0,728.0,126,128,105.0,106.0,80.0,324.0,49.0,113.0,166.0,1449.0,189.0,192.0,986.0,311.0,651.0,32.0,23,1,8722,2,,,0.0037239405792206,0.0,2019-03-12 06:51:25,cast_pressure,physical_strength,upper_mold_temp1
57,57,57,57,73669,0,0,0,0,3606,312,0,0,713.0,122,123,110.0,111.0,87.0,330.0,45.0,101.0,182.0,1449.0,188.0,298.0,1449.0,350.0,698.0,30.0,23,1,8917,2,,,0.0019290423505764,0.0,2019-03-12 06:51:57,cast_pressure,facility_operation_cycleTime,Coolant_temperature
58,58,58,58,73670,0,0,0,0,3615,293,0,0,731.0,119,121,110.0,112.0,,330.0,51.0,210.0,159.0,1449.0,127.0,204.0,1449.0,409.0,701.0,33.0,6,1,8412,0,,,0.0002495347289368,0.0,2019-03-12 06:52:35,upper_mold_temp1,cast_pressure,molten_temp
59,59,59,59,73671,0,0,0,0,3621,303,0,0,728.0,125,127,105.0,106.0,79.0,324.0,47.0,113.0,168.0,1449.0,189.0,192.0,978.0,314.0,655.0,32.0,23,1,8722,2,,,0.0035857607144862,0.0,2019-03-12 06:53:26,cast_pressure,physical_strength,upper_mold_temp1
60,60,60,60,73672,0,0,0,0,3625,313,0,0,713.0,122,123,110.0,112.0,87.0,329.0,45.0,102.0,182.0,1449.0,189.0,300.0,1449.0,357.0,692.0,30.0,23,1,8917,2,,,0.0019445350649856,0.0,2019-03-12 06:53:56,cast_pressure,Coolant_temperature,lower_mold_temp1
61,61,61,61,73673,0,0,0,0,3634,294,0,0,731.0,120,122,110.0,112.0,,330.0,50.0,211.0,159.0,1449.0,127.0,204.0,1449.0,401.0,731.0,32.0,6,1,8412,0,,,0.0003122110501863,0.0,2019-03-12 06:54:36,upper_mold_temp1,cast_pressure,molten_temp
62,62,62,62,73674,0,0,0,0,3641,304,0,0,728.0,123,140,105.0,106.0,79.0,325.0,48.0,109.0,163.0,1449.0,185.0,192.0,975.0,302.0,650.0,32.0,23,1,8722,2,,,0.0040764668956398,0.0,2019-03-12 06:55:49,cast_pressure,physical_strength,upper_mold_temp1
63,63,63,63,73675,0,0,0,0,3643,314,0,0,714.0,122,123,110.0,112.0,85.0,329.0,46.0,102.0,183.0,1449.0,189.0,301.0,1449.0,359.0,696.0,30.0,23,1,8917,2,,,0.0019445350649856,0.0,2019-03-12 06:55:57,cast_pressure,Coolant_temperature,lower_mold_temp1
64,64,64,64,73676,0,0,0,0,3650,295,0,0,731.0,120,122,110.0,112.0,,330.0,52.0,209.0,159.0,1449.0,128.0,204.0,1449.0,406.0,695.0,33.0,6,1,8412,0,,,0.0002495347289368,0.0,2019-03-12 06:56:38,upper_mold_temp1,cast_pressure,high_section_speed
65,65,65,65,73677,0,0,0,0,3657,305,0,0,729.0,139,126,105.0,106.0,77.0,324.0,47.0,112.0,166.0,1449.0,187.0,191.0,988.0,306.0,656.0,32.0,23,1,8722,2,,,0.0035929332952946,0.0,2019-03-12 06:57:54,cast_pressure,physical_strength,upper_mold_temp1
66,66,66,66,73678,0,0,0,0,3658,315,0,0,714.0,122,123,110.0,112.0,85.0,330.0,46.0,102.0,183.0,1449.0,189.0,302.0,1449.0,354.0,696.0,30.0,23,1,8917,2,,,0.0019445350649856,0.0,2019-03-12 06:57:58,cast_pressure,Coolant_temperature,lower_mold_temp1
67,67,67,67,73679,0,0,0,0,3665,296,0,0,730.0,120,124,110.0,112.0,,330.0,50.0,209.0,159.0,1449.0,128.0,204.0,1449.0,404.0,728.0,32.0,6,1,8412,0,,,0.0003122110501863,0.0,2019-03-12 06:58:43,upper_mold_temp1,cast_pressure,molten_temp
68,68,68,68,73680,0,0,0,0,3672,306,0,0,729.0,126,126,105.0,106.0,77.0,325.0,47.0,112.0,167.0,1449.0,187.0,193.0,971.0,306.0,654.0,32.0,23,1,8722,2,,,0.0035857607144862,0.0,2019-03-12 06:59:53,cast_pressure,physical_strength,upper_mold_temp1
69,69,69,69,73681,0,0,0,0,3674,316,0,0,714.0,122,123,110.0,114.0,84.0,329.0,46.0,102.0,183.0,1449.0,189.0,303.0,1449.0,356.0,695.0,30.0,23,1,8917,2,,,0.0016584535101777,0.0,2019-03-12 07:00:01,cast_pressure,lower_mold_temp1,facility_operation_cycleTime
70,70,70,70,73682,0,0,0,0,3678,297,0,0,730.0,122,123,110.0,112.0,,330.0,52.0,206.0,159.0,1449.0,127.0,202.0,1449.0,406.0,734.0,32.0,6,1,8412,0,,,0.0002687574014998,0.0,2019-03-12 07:00:45,cast_pressure,upper_mold_temp1,molten_temp
71,71,71,71,73683,0,0,0,0,3679,307,0,0,729.0,123,127,105.0,106.0,76.0,324.0,53.0,112.0,167.0,1449.0,188.0,192.0,972.0,316.0,655.0,32.0,23,1,8722,2,,,0.0035857607144862,0.0,2019-03-12 07:02:02,cast_pressure,physical_strength,upper_mold_temp1
72,72,72,72,73684,0,0,0,0,3698,1,0,0,727.0,123,127,0.0,106.0,75.0,145.0,53.0,112.0,75.0,1449.0,87.0,94.0,972.0,164.0,2.0,27.0,23,0,8722,2,,,0.922615885734558,1.0,2019-03-12 08:00:54,cast_pressure,low_section_speed,lower_mold_temp2
73,73,73,73,73685,0,0,0,0,3707,1,0,0,731.0,122,123,110.0,113.0,,161.0,41.0,27.0,135.0,1449.0,55.0,38.0,1449.0,137.0,706.0,25.0,6,0,8412,0,,,0.9807752370834352,1.0,2019-03-12 08:01:56,cast_pressure,upper_mold_temp1,lower_mold_temp1
74,74,74,74,73686,0,0,0,0,3713,2,0,0,727.0,123,127,7.0,106.0,71.0,145.0,420.0,79.0,85.0,1449.0,119.0,118.0,975.0,229.0,656.0,29.0,23,0,8722,2,,,0.939951479434967,1.0,2019-03-12 08:03:14,cast_pressure,low_section_speed,lower_mold_temp2
75,75,75,75,73687,0,0,0,0,3720,2,0,0,731.0,122,116,110.0,112.0,,145.0,45.0,145.0,127.0,1449.0,63.0,98.0,1449.0,256.0,705.0,25.0,6,0,8412,0,,,0.9534972906112672,1.0,2019-03-12 08:03:50,cast_pressure,Coolant_temperature,lower_mold_temp2
76,76,76,76,73688,0,0,0,0,3734,1,0,0,727.0,122,123,109.0,113.0,81.0,156.0,51.0,56.0,134.0,1449.0,108.0,111.0,1449.0,181.0,700.0,25.0,23,0,8917,2,,,0.986424564050188,1.0,2019-03-12 08:05:47,cast_pressure,lower_mold_temp1,lower_mold_temp2
77,77,77,77,73689,0,0,0,0,3735,3,0,0,731.0,122,118,109.0,112.0,,149.0,51.0,177.0,129.0,1449.0,71.0,129.0,1449.0,329.0,735.0,26.0,6,0,8412,0,,,0.9395206570625304,1.0,2019-03-12 08:05:50,cast_pressure,upper_mold_temp1,Coolant_temperature
78,78,78,78,73690,0,0,0,0,3740,3,0,0,727.0,123,127,104.0,106.0,70.0,146.0,420.0,79.0,88.0,1449.0,118.0,118.0,975.0,229.0,656.0,28.0,23,0,8722,2,,,0.939951479434967,1.0,2019-03-12 08:06:56,cast_pressure,lower_mold_temp2,upper_mold_temp1
79,79,79,79,73691,0,0,0,0,3750,2,0,0,727.0,122,121,110.0,112.0,80.0,171.0,48.0,95.0,140.0,1449.0,124.0,151.0,1449.0,242.0,703.0,25.0,23,0,8917,2,,,0.986424564050188,1.0,2019-03-12 08:07:52,cast_pressure,lower_mold_temp1,sleeve_temperature
80,80,80,80,73692,0,0,0,0,3751,4,0,0,731.0,122,122,110.0,112.0,,161.0,54.0,187.0,129.0,1449.0,77.0,144.0,1449.0,364.0,732.0,26.0,6,0,8412,0,,,0.9712860584259032,1.0,2019-03-12 08:07:54,cast_pressure,upper_mold_temp1,Coolant_temperature
81,81,81,81,73693,0,0,0,0,3761,4,0,0,727.0,182,121,104.0,106.0,70.0,325.0,50.0,85.0,118.0,1449.0,136.0,142.0,963.0,248.0,663.0,27.0,23,0,8722,2,,,0.8920515775680542,1.0,2019-03-12 08:09:19,lower_mold_temp1,upper_mold_temp1,sleeve_temperature
82,82,82,82,73694,0,0,0,0,3766,3,0,0,728.0,122,120,110.0,112.0,80.0,171.0,46.0,101.0,146.0,1449.0,137.0,183.0,1449.0,284.0,695.0,25.0,23,0,8917,2,,,0.986424564050188,1.0,2019-03-12 08:09:51,cast_pressure,lower_mold_temp1,sleeve_temperature
83,83,83,83,73695,0,0,0,0,3767,5,0,0,730.0,122,121,110.0,112.0,,155.0,49.0,198.0,124.0,1449.0,82.0,155.0,1449.0,386.0,725.0,27.0,6,0,8412,0,,,0.954741597175598,1.0,2019-03-12 08:09:53,cast_pressure,upper_mold_temp1,Coolant_temperature
84,84,84,84,73696,0,0,0,0,3772,5,0,0,727.0,118,122,105.0,106.0,69.0,325.0,52.0,94.0,133.0,1449.0,154.0,149.0,960.0,266.0,663.0,26.0,23,0,8722,2,,,0.1770659238100052,0.0,2019-03-12 08:11:11,lower_mold_temp1,sleeve_temperature,cast_pressure
85,85,85,85,73697,0,0,0,0,3781,4,0,0,728.0,122,121,110.0,112.0,79.0,172.0,49.0,103.0,150.0,1449.0,144.0,205.0,1449.0,310.0,701.0,25.0,23,0,8917,2,,,0.9860862933205864,1.0,2019-03-12 08:11:47,cast_pressure,lower_mold_temp1,sleeve_temperature
86,86,86,86,73698,0,0,0,0,3782,6,0,0,729.0,119,121,110.0,112.0,,319.0,54.0,202.0,124.0,1449.0,86.0,162.0,1449.0,400.0,724.0,27.0,6,1,8412,0,,,0.0011588698253035,0.0,2019-03-12 08:11:51,upper_mold_temp1,cast_pressure,Coolant_temperature
